"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 11- 30","62,200","60,400","62,200","60,300","0.42K","2.64%"
"2022- 11- 29","60,600","59,900","60,600","59,800","0.40K","0.83%"
"2022- 11- 28","60,100","60,500","60,500","59,800","0.06K","-1.48%"
"2022- 11- 27","61,000","61,000","61,000","61,000","","0.00%"
"2022- 11- 25","61,000","61,400","61,700","60,800","6.64M","-0.65%"
"2022- 11- 24","61,400","61,300","61,700","60,900","2.22K","0.66%"
"2022- 11- 23","61,000","61,200","61,300","60,700","8.74M","0.66%"
"2022- 11- 22","60,600","60,900","61,200","60,300","9.30M","-1.30%"
"2022- 11- 21","61,400","61,400","61,800","60,800","9.22M","-0.65%"
"2022- 11- 20","61,800","61,800","61,800","61,800","","0.00%"
"2022- 11- 18","61,800","61,800","62,400","61,400","11.60M","0.65%"
"2022- 11- 17","61,400","62,000","62,000","61,300","13.27M","-2.07%"
"2022- 11- 16","62,700","62,400","62,700","61,700","12.76M","0.48%"
"2022- 11- 15","62,400","62,300","62,400","61,600","0.26K","0.81%"
"2022- 11- 14","61,900","62,900","62,900","61,700","3.49K","-1.59%"
"2022- 11- 13","62,900","62,900","62,900","62,900","","0.00%"
"2022- 11- 11","62,900","63,100","63,200","62,300","19.81M","4.14%"
"2022- 11- 10","60,400","61,400","61,500","60,400","21.00M","-2.58%"
"2022- 11- 09","62,000","62,000","62,200","61,300","13.99M","0.32%"
"2022- 11- 08","61,800","60,500","61,900","60,500","18.23M","2.66%"
"2022- 11- 07","60,200","59,700","60,300","59,400","0.02K","1.35%"
"2022- 11- 06","59,400","59,400","59,400","59,400","","0.00%"
"2022- 11- 04","59,400","59,100","59,500","58,400","12.42M","0.34%"
"2022- 11- 03","59,200","58,700","59,800","58,100","1.13K","-0.67%"
"2022- 11- 02","59,600","59,700","60,000","59,300","0.46K","-0.67%"
"2022- 11- 01","60,000","59,900","60,300","59,500","17.02M","1.01%"
"2022- 10- 31","59,400","58,100","59,900","58,000","18.93M","3.66%"
"2022- 10- 30","57,300","57,300","57,300","57,300","","0.00%"
"2022- 10- 28","57,300","58,900","59,200","57,200","20.61M","-3.70%"
"2022- 10- 27","59,500","59,700","60,100","58,900","0.77K","0.17%"
"2022- 10- 26","59,400","58,000","59,600","57,800","13.58K","2.95%"
"2022- 10- 25","57,700","57,000","58,600","57,000","16.90M","0.35%"
"2022- 10- 24","57,500","57,000","57,500","56,700","16.89M","2.86%"
"2022- 10- 23","55,900","55,900","55,900","55,900","","0.00%"
"2022- 10- 21","55,900","55,100","56,300","55,100","9.98M","0.72%"
"2022- 10- 20","55,500","55,200","56,000","55,100","15.77M","-0.54%"
"2022- 10- 19","55,800","56,800","56,900","55,700","1.74K","-1.24%"
"2022- 10- 18","56,500","56,800","57,100","55,800","0.81K","-0.18%"
"2022- 10- 17","56,600","55,800","56,900","55,800","0.00K","0.53%"
"2022- 10- 16","56,300","56,300","56,300","56,300","","0.00%"
"2022- 10- 14","56,300","56,200","56,500","55,800","12.87M","1.99%"
"2022- 10- 13","55,200","55,500","56,100","55,200","0.21K","-1.08%"
"2022- 10- 12","55,800","55,400","57,000","55,400","5.55K","0.72%"
"2022- 10- 11","55,400","54,500","55,600","54,000","1.21K","-1.42%"
"2022- 10- 10","56,200","56,200","56,200","56,200","","0.00%"
"2022- 10- 07","56,200","55,900","56,900","55,200","15.91M","-0.18%"
"2022- 10- 06","56,300","56,600","57,300","56,300","1.88K","0.54%"
"2022- 10- 05","56,000","56,900","57,200","55,400","22.22M","1.45%"
"2022- 10- 04","55,200","55,300","55,400","54,500","19.05M","3.95%"
"2022- 10- 03","53,100","53,100","53,100","53,100","","0.00%"
"2022- 09- 30","53,100","52,300","53,600","51,800","21.82M","0.95%"
"2022- 09- 29","52,600","53,300","53,700","52,600","13.69M","-0.57%"
"2022- 09- 28","52,900","53,900","54,400","52,500","19.66M","-2.40%"
"2022- 09- 27","54,200","53,800","54,200","53,500","15.89M","0.56%"
"2022- 09- 26","53,900","53,700","54,200","53,600","14.15M","-1.10%"
"2022- 09- 25","54,500","54,500","54,500","54,500","","0.00%"
"2022- 09- 23","54,500","54,400","54,900","54,200","10.48M","0.18%"
"2022- 09- 22","54,400","54,700","54,700","54,300","9.15K","-1.63%"
"2022- 09- 21","55,300","55,500","55,500","55,000","1.55K","-0.90%"
"2022- 09- 20","55,800","56,400","57,000","55,800","13.86M","-1.06%"
"2022- 09- 19","56,400","56,300","57,000","56,000","12.14M","0.36%"
